Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,pred_proba,pred_label
8e607053-48ff-4548-ac31-b5d55cac99ec,660500,Lead Add Form,Google,No,No,0,4,1404,3.26,Email Opened,,"Banking, Investment And Insurance",Multiple Sources,,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Thane & Outskirts,02.Medium,02.Medium,15,13,No,No,Email Opened,0.8028397,1
3576e113-5200-499c-9193-aeabb543507c,660499,API,YouTube,No,No,1,4,619,4.0,Had a Phone Conversation,,Marketing Management,Reference,,,No,No,No,No,No,No,No,No,Busy,,No,No,Select,Other Cities of Maharashtra,02.Medium,02.Medium,14,16,Yes,No,Page Visited on Website,0.51637614,1
405e32fa-f11e-4003-b455-999069f12bcc,660498,API,Reference,No,No,0,8,555,8.0,Unreachable,Bahrain,Select,Select,Student,Affordable Fees,No,No,No,No,No,No,No,No,Ringing,,No,No,Other Leads,Select,03.Low,01.High,11,15,No,No,Unreachable,0.0020405245,0
b6eb0e42-6e3f-4076-82ef-7484123c9af4,660497,Landing Page Submission,Google,No,No,0,14,309,14.0,SMS Sent,India,Healthcare Management,Multiple Sources,Working Professional,,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Might be,No,No,Lateral Student,Other Metro Cities,01.High,01.High,18,15,No,Yes,Unreachable,0.08535464,0
90b3012e-da8a-4b14-81ca-5cc36b96545f,660496,API,Olark Chat,No,No,0,0,0,0.0,Form Submitted on Website,Kuwait,"Banking, Investment And Insurance",Email,Student,,No,No,No,No,No,No,No,No,Ringing,Worst,No,No,Other Leads,Other Cities,02.Medium,01.High,16,15,No,No,Olark Chat Conversation,0.0004678665,0
c46471c5-317d-428d-a728-dac600621839,660495,Landing Page Submission,Direct Traffic,No,No,0,16,1805,16.0,Unreachable,Qatar,Select,Reference,Businessman,,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Other Leads,Other Metro Cities,02.Medium,02.Medium,16,14,No,No,Unreachable,0.72300035,1
c63cca8e-a68e-425e-a9f8-898bbe97c6dd,660494,Landing Page Submission,YouTube,No,No,1,4,1393,4.0,Olark Chat Conversation,Saudi Arabia,Marketing Management,Word Of Mouth,Other,,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Dual Specialization Student,Mumbai,01.High,01.High,16,17,No,No,Modified,0.96462184,1
f48fbb26-f4f3-49fb-841d-07ca720cfb52,660493,Lead Add Form,Email,No,No,0,10,1221,10.0,Email Link Clicked,India,"Banking, Investment And Insurance",Other,Other,Affordable Fees,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Other Metro Cities,02.Medium,01.High,16,15,No,No,Email Link Clicked,0.99062765,1
2dec23f1-ebc8-4eaf-a281-99a19de726c6,660492,Lead Import,Direct Traffic,No,No,0,16,1264,16.0,SMS Sent,Bahrain,"Banking, Investment And Insurance",Select,,Affordable Fees,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Other Cities,02.Medium,02.Medium,16,13,No,Yes,Page Visited on Website,0.3974316,0
2225a608-1e28-437f-af4d-b82d553b608c,660491,API,Organic Search,No,No,0,16,1415,16.0,Unsubscribed,India,Finance Management,Select,Unemployed,Flexibility & Convenience,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,,,01.High,02.Medium,15,14,No,Yes,Unsubscribed,0.30115783,0
